study_area,id,Latitude,Longitude,orbit,incidence_angle,field_id,date,soil_moisture,G_VH_dB,G_VV_dB,projectedLocalIncidenceAngle,assumed_clay_content,C11_ILSF9_BI1000_dB,C22_ILSF9_BI1000_dB,Surface_r_ILSF9_BI1000,Volume_g_ILSF9_BI1000,Ratio_b_ILSF9_BI1000,projectedLocalIncidenceAngle,soil_complex,soil_type,soil_texture,top_texture,range_clay_content,assumed_clay_content
KEDZIERZYN,KG01,50.3234096,18.1294819,A175,36.95,KG,12.10.2024,17.8,-18.92,-9.7,36.63,50.0,-13.3174,-23.71,-15.302,-17.034,1.732,36.63,8,F,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KG02,50.3236907,18.1296805,A175,36.95,KG,12.10.2024,18.26,-18.41,-9.16,37.37,50.0,-14.8806,-21.8982,-15.678,-16.317,0.639,37.37,8,F,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KG03,50.3239957,18.1298895,A175,36.95,KG,12.10.2024,24.14,-18.74,-9.3,37.41,50.0,-12.4115,-21.5865,-14.058,-16.169,2.111,37.41,8,F,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KG04,50.3238556,18.1303698,A175,36.95,KG,12.10.2024,19.57,-18.05,-8.13,36.33,50.0,-12.8056,-22.1219,-14.18,-16.217,2.037,36.33,8,F,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KG05,50.3235306,18.1301928,A175,36.95,KG,12.10.2024,20.67,-19.09,-9.37,37.04,50.0,-13.9536,-22.5857,-16.659,-16.214,-0.445,37.04,8,F,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KI01,50.3197808,18.1715989,A175,36.95,KI,12.10.2024,37.25,-17.84,-9.34,37.01,50.0,-14.4833,-23.1673,-17.348,-16.084,-1.264,37.01,1,zF,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KI02,50.3201196,18.1713787,A175,36.95,KI,12.10.2024,41.68,-18.18,-9.7,36.94,50.0,-13.9943,-22.0909,-16.688,-16.045,-0.643,36.94,1,zF,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KI03,50.3204732,18.1713546,A175,36.95,KI,12.10.2024,38.85,-18.01,-9.41,37.66,50.0,-13.8108,-20.9835,-17.396,-15.167,-2.23,37.66,1,zF,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KI04,50.3207278,18.1716734,A175,36.95,KI,12.10.2024,39.77,-17.89,-9.38,38.03,50.0,-13.2125,-21.0706,-15.769,-15.286,-0.483,38.03,1,zF,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KI05,50.3204845,18.17209,A175,36.95,KI,12.10.2024,44.39,-16.65,-9.77,36.96,50.0,-12.7392,-21.2721,-15.457,-15.225,-0.232,36.96,1,zF,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KI06,50.3201406,18.1721373,A175,36.95,KI,12.10.2024,43.77,-18.16,-10.55,34.49,50.0,-13.8398,-20.5547,-18.578,-14.251,-4.327,34.49,1,zF,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KKT05,50.3754848,18.0978926,A175,36.95,KKT,14.10.2024,46.7,-17.62,-8.96,37.01,50.0,-10.4201,-20.2441,-12.43,-14.309,1.879,37.01,2,zFG,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KKU02,50.3791243,18.0992144,A175,36.95,KKU,14.10.2024,47.44,-18.46,-8.08,37.03,50.0,-11.5462,-21.6896,-12.971,-15.638,2.666,37.03,2,zF,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KKU03,50.3786917,18.0993469,A175,36.95,KKU,14.10.2024,53.38,-19.23,-8.23,37.02,50.0,-11.5156,-21.1989,-12.862,-15.671,2.81,37.02,2,zF,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KKU04,50.3783585,18.0994733,A175,36.95,KKU,14.10.2024,43.88,-19.0,-8.37,36.98,50.0,-11.6111,-20.9772,-13.156,-15.295,2.14,36.98,2,zF,bc,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KF01,50.349928,18.11004,A175,36.95,KF,11.10.2024,36.73,-19.26,-10.32,37.09,50.0,-13.7253,-22.6174,-15.725,-16.393,0.668,37.09,2,zFG,bc:pl,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KF02,50.3497716,18.1096495,A175,36.95,KF,11.10.2024,35.17,-20.45,-10.55,36.69,50.0,-12.8615,-22.871,-14.748,-17.079,2.331,36.69,2,zFG,bc:pl,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KF03,50.3495338,18.1093609,A175,36.95,KF,11.10.2024,34.68,-21.35,-11.28,38.35,50.0,-15.0498,-25.3027,-16.014,-18.195,2.181,38.35,2,zFG,bc:pl,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KF04,50.3495368,18.1097556,A175,36.95,KF,11.10.2024,28.7,-20.39,-11.29,35.44,50.0,-14.5515,-24.195,-16.307,-17.976,1.669,35.44,2,zFG,bc:pl,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KF05,50.3495833,18.1102434,A175,36.95,KF,11.10.2024,35.19,-19.44,-10.59,36.28,50.0,-17.2279,-21.8134,-19.289,-16.454,-2.836,36.28,2,zFG,bc:pl,mady bardzo ciężkie,pow. 50,50.0
KEDZIERZYN,KJ01,50.3230931,18.1752126,A175,36.95,KJ,12.10.2024,33.37,-21.08,-10.21,37.01,43.0,-14.1636,-23.5953,-15.935,-17.701,1.766,37.01,1,F,c,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KJ02,50.3234113,18.1754626,A175,36.95,KJ,12.10.2024,34.75,-20.88,-12.04,37.22,43.0,-15.962,-24.5323,-16.98,-18.315,1.335,37.22,1,F,c,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KJ03,50.3237312,18.1756854,A175,36.95,KJ,12.10.2024,34.28,-19.24,-10.76,37.29,43.0,-14.9683,-23.1808,-16.805,-17.615,0.809,37.29,1,F,c,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KJ04,50.3235311,18.1763471,A175,36.95,KJ,12.10.2024,32.96,-20.55,-10.56,38.07,43.0,-13.6071,-24.0553,-15.083,-17.719,2.636,38.07,1,F,c,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KJ05,50.3232062,18.1760904,A175,36.95,KJ,12.10.2024,32.99,-20.87,-10.14,38.04,43.0,-13.535,-23.1087,-15.296,-17.194,1.898,38.04,1,F,c,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KJ06,50.3228756,18.1758527,A175,36.95,KJ,12.10.2024,34.46,-20.81,-9.82,37.32,43.0,-12.961,-22.4094,-14.597,-16.602,2.006,37.32,1,F,c,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KKU01,50.3794985,18.0995497,A175,36.95,KKU,14.10.2024,43.02,-20.44,-10.55,31.03,43.0,-13.8742,-21.3124,-14.486,-15.525,1.04,31.03,8,F,c,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KA01,50.3629639,18.1147545,A175,36.95,KA,11.10.2024,16.89,-20.35,-9.68,37.07,43.0,-13.2979,-23.4905,-15.139,-16.881,1.742,37.07,2,F,c:pgm,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KA02,50.3626109,18.1150104,A175,36.95,KA,11.10.2024,20.54,-20.95,-9.87,37.6,43.0,-14.1024,-23.2233,-15.51,-17.358,1.848,37.6,2,F,c:pgm,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KA04,50.3630142,18.1154269,A175,36.95,KA,11.10.2024,26.86,-18.8,-7.89,39.92,43.0,-14.3176,-22.2697,-16.502,-16.333,-0.169,39.92,2,F,c:pgm,mady ciężkie,35 - 50,43.0
KEDZIERZYN,KA05,50.363592,18.1151334,A175,36.95,KA,11.10.2024,30.74,-17.28,-7.23,37.27,43.0,-11.166,-21.348,-12.91,-15.339,2.428,37.27,2,F,c:pgm,mady ciężkie,35 - 50,43.0
